Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
1,2021,NBA,26.2,6-6,215,1031,497730,83330,181818,25436,72504,34572,44741,21371,70731,92102,50346,15727,9870,28539,40504,226668,.458,.351,.773,98.3,.528,12.4,23.2,.190,111.2
2,2020,NBA,26.1,6-6,217,1080,521500,89020,190983,27427,74822,36650,47135,21232,74454,95686,53577,16356,10525,29887,41669,242117,.466,.367,.778,99.2,.538,12.4,22.2,.192,112.3
3,2019,NBA,26.1,6-6,218,1059,512070,86550,188116,25862,72252,37826,48943,21340,73617,94957,51649,16200,10378,30802,44004,236788,.460,.358,.773,100.3,.529,12.8,22.5,.201,110.6
4,2018,NBA,26.3,6-6,219,1230,594450,101062,219458,27955,78742,43494,56758,25454,85653,111107,60483,18779,12185,34644,51425,273573,.461,.355,.766,100.0,.524,12.4,22.9,.198,110.4
5,2017,NBA,26.4,6-7,220,1230,593850,97435,211709,25807,71340,40903,53325,23891,83161,107052,57163,18983,11846,35092,48837,261580,.460,.362,.767,97.3,.521,13.0,22.3,.193,108.6
6,2016,NBA,26.6,6-7,221,1230,594400,96061,210115,23748,66422,43883,56855,24937,82109,107046,55660,18950,11669,34320,48950,259753,.457,.358,.772,96.4,.514,12.7,23.3,.209,108.8
7,2015,NBA,26.7,6-7,222,1230,594850,94065,208049,20953,59241,43489,57469,25624,82021,107645,54832,19303,12193,35384,49854,252572,.452,.354,.757,95.8,.502,13.2,23.8,.209,106.4
8,2014,NBA,26.7,6-7,223,1230,595200,92287,205570,19300,55137,42161,56198,26781,79723,106504,54202,19031,11797,35312,49728,246035,.449,.350,.750,93.9,.496,13.3,25.1,.205,105.6
9,2013,NBA,26.5,6-7,223,1230,595200,92779,204172,19054,52974,43870,58029,26846,78315,105161,54131,18895,11594,36034,50923,248482,.454,.360,.756,93.9,.501,13.6,25.5,.215,106.6
10,2012,NBA,26.7,6-7,223,1229,594470,91282,201609,17603,49067,41056,54533,27456,76119,103575,54415,19178,12622,35767,48775,241223,.453,.359,.753,92.0,.496,13.7,26.5,.204,105.8
11,2011,NBA,26.6,6-7,223,990,479050,72218,161225,12693,36395,33465,44472,22512,61001,83513,41533,15200,10086,28860,38744,190594,.448,.349,.752,91.3,.487,13.8,27.0,.208,104.6
12,2010,NBA,26.6,6-7,223,1230,595050,91624,199790,15886,44313,45760,59937,26844,74972,101816,52887,18023,11966,35065,50953,244894,.459,.358,.763,92.1,.498,13.4,26.4,.229,107.3
13,2009,NBA,26.6,6-7,222,1230,594500,92730,200989,15822,44622,45818,60377,26955,75685,102640,52258,17759,11947,34982,51309,247100,.461,.355,.759,92.7,.501,13.3,26.3,.228,107.6
14,2008,NBA,26.6,6-7,221,1230,594650,91310,199054,16352,44583,46907,60859,27157,74429,101586,51605,17883,11817,34519,51765,245879,.459,.367,.771,91.7,.500,13.3,26.7,.236,108.3
15,2007,NBA,26.8,6-7,220,1230,594100,91669,200501,16124,44544,46349,61363,27551,75720,103271,53506,17897,11651,34719,51709,245811,.457,.362,.755,92.4,.497,13.2,26.7,.231,107.5
16,2006,NBA,26.6,6-7,219,1230,595750,89860,196073,14926,41672,48253,64149,27360,73634,100994,52365,17807,11329,37232,54666,242899,.458,.358,.752,91.9,.496,14.2,27.1,.246,106.5
17,2005,NBA,26.5,6-7,220,1230,595550,88166,194315,14086,39313,48223,64700,27491,73263,100754,50711,17632,11560,35459,55986,238641,.454,.358,.745,90.5,.490,13.7,27.3,.248,106.2
18,2004,NBA,26.9,6-7,220,1230,595000,88435,197626,13777,38748,48462,64095,29544,73426,102970,52342,18489,11963,35677,55671,239109,.447,.356,.756,90.9,.482,13.6,28.7,.245,106.1
19,2003,NBA,27.0,6-7,220,1189,574770,83254,189802,12321,35492,43268,57564,28753,71608,100361,50658,18864,12022,35610,51006,222097,.439,.347,.752,90.1,.471,14.2,28.6,.228,102.9
20,2002,NBA,27.2,6-7,219,1189,575420,84937,192109,12200,34912,44028,58103,28654,71950,100604,51133,18884,11928,35471,51730,226102,.442,.349,.758,91.0,.474,14.0,28.5,.229,103.6
21,2001,NBA,27.4,6-7,218,1189,574670,86011,193263,12402,35074,42619,56650,29094,71735,100829,52131,18538,12422,34389,50497,227043,.445,.354,.752,90.7,.477,13.6,28.9,.221,104.5
22,2000,NBA,27.7,6-7,216,1189,575520,84865,191664,11524,32597,44205,59137,28519,72469,100988,51786,18600,12505,35783,53143,225459,.443,.354,.748,91.3,.473,14.1,28.2,.231,103.0
23,1999,NBA,27.8,6-7,216,1189,574270,87591,195220,11513,32614,45094,60111,29526,72536,102062,53130,18868,12293,36788,55408,231789,.449,.353,.750,93.1,.478,14.2,28.9,.231,104.1
24,1998,NBA,27.9,6-7,215,725,350650,49549,113379,6463,19080,27231,37399,18250,42145,60395,30050,12113,7196,22221,32206,132792,.437,.339,.728,88.9,.466,14.6,30.2,.240,102.2
25,1997,NBA,27.7,6-7,214,1189,575120,85383,189537,10450,30231,46053,62494,31033,67765,98798,52386,19943,12062,36823,53278,227269,.450,.346,.737,90.3,.478,14.5,31.4,.243,105.0
26,1996,NBA,27.7,6-7,213,1189,575170,85777,188594,14383,39943,44496,60271,30120,67583,97703,52426,19486,11674,37252,52602,230433,.455,.360,.738,90.1,.493,14.8,30.8,.236,106.7
27,1995,NBA,27.5,6-7,213,1189,574570,88096,190675,14000,38161,46427,62765,30016,68083,98099,53950,18952,12038,37641,54806,236619,.462,.367,.740,91.8,.499,14.7,30.6,.243,107.6
28,1994,NBA,27.2,6-7,212,1107,535610,84105,180423,12153,33889,44155,59938,28878,63128,92006,51729,18330,11430,35303,51961,224518,.466,.359,.737,92.9,.500,14.6,31.4,.245,108.3
29,1993,NBA,27.2,6-7,211,1107,533810,87064,186951,7301,21907,43308,58977,30687,64505,95192,54003,19652,11579,35424,49075,224737,.466,.333,.734,95.1,.485,14.3,32.2,.232,106.3
30,1992,NBA,27.1,6-7,210,1107,535160,90056,190295,6668,19824,46293,61373,30536,64968,95504,54705,18932,11558,35230,51269,233073,.473,.336,.754,96.8,.491,14.0,32.0,.243,108.0
31,1991,NBA,27.2,6-7,208,1107,535310,91371,193391,5587,16898,44826,59075,31787,64893,96680,54192,19131,12216,34430,49227,233155,.472,.331,.759,96.6,.487,13.6,32.9,.232,108.2
32,1990,NBA,27.2,6-7,209,1107,535260,91551,193059,5055,15812,47213,61736,30959,64817,95776,54782,19014,11624,35515,51304,235370,.474,.320,.765,97.8,.487,13.9,32.3,.245,107.9
33,1989,NBA,27.1,6-7,208,1107,534760,91914,192951,4829,14608,48225,63118,30633,64885,95518,55023,18881,11207,35555,51478,236882,.476,.331,.764,98.3,.489,13.9,32.1,.250,108.1
34,1988,NBA,26.9,6-7,208,1025,495150,87060,182385,4332,13431,45345,59067,29724,60307,90031,52431,18619,10949,35312,48504,223797,.477,.323,.768,100.6,.489,14.5,33.0,.249,107.8
35,1987,NBA,26.9,6-7,209,943,455040,79473,165441,2979,9421,42068,54933,26834,54994,81828,48599,16055,10160,31563,45461,203993,.480,.316,.766,99.6,.489,14.3,32.8,.254,108.0
36,1986,NBA,26.6,6-7,209,943,455590,80422,167455,2687,8913,43807,57449,27725,55295,83020,48998,16264,10411,32040,46277,207338,.480,.301,.763,100.8,.488,14.3,33.4,.262,108.3
37,1985,NBA,26.8,6-7,208,943,455640,81465,167166,1774,6293,43171,57079,26661,55500,82161,49065,16576,9910,33645,47543,207875,.487,.282,.756,102.1,.493,14.9,32.4,.258,107.2
38,1984,NBA,26.4,6-7,207,943,455340,82532,168048,1671,5917,42306,55381,26999,55009,82008,49515,16122,10019,33694,47036,209041,.491,.282,.764,102.1,.496,14.9,32.9,.252,107.9
39,1983,NBA,26.4,6-7,206,943,456490,82007,166638,1120,4484,42534,55992,26772,54378,81150,49397,16041,10004,33755,48573,207668,.492,.250,.760,101.4,.495,15.0,33.0,.255,107.6
40,1982,NBA,26.1,6-7,205,943,455090,82087,169098,1011,4248,39473,53336,27970,55883,83853,48862,16778,10566,36038,48373,204658,.485,.238,.740,103.1,.488,15.8,33.4,.233,104.7
41,1981,NBA,26.2,6-7,205,943,455690,81732,166418,1129,4308,40183,53889,27039,54948,81987,47438,16107,10131,33435,49352,204776,.491,.262,.746,100.9,.495,15.0,33.0,.241,106.9
42,1980,NBA,26.2,6-7,205,943,455340,81025,166769,936,3815,40900,54481,27437,54573,82010,48034,16964,10036,35354,47265,203886,.486,.245,.751,101.8,.489,15.6,33.5,.245,105.5
43,1979,NBA,26.4,6-6,204,902,436260,78735,163521,1403,5003,38366,50212,27165,53900,81065,46567,16993,9561,34166,43952,197239,.481,.280,.764,103.1,.486,15.5,33.5,.235,105.3